task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
11	73/568c76	3952387	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.1)	COMPLETED	0	2024-04-04 16:05:39.329	238ms	102ms	97.5%	5.7 MB	20.9 MB	939.3 KB	202.9 KB
14	2d/061d24	3952423	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.4)	COMPLETED	0	2024-04-04 16:05:39.351	243ms	182ms	103.8%	5.7 MB	20.9 MB	1.6 MB	402.7 KB
16	7e/a4f26b	3952718	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.3)	COMPLETED	0	2024-04-04 16:05:39.434	228ms	166ms	101.7%	5.7 MB	20.9 MB	1.5 MB	363.1 KB
18	c1/291e4e	3953136	NFCORE_PANGENOME:PANGENOME:COMMUNITY:SAMTOOLS_FAIDX (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2.fa.gz)	COMPLETED	0	2024-04-04 16:05:39.565	108ms	36ms	109.2%	0	0	361.6 KB	1 KB
19	7c/f9f967	3953141	NFCORE_PANGENOME:PANGENOME:COMMUNITY:SAMTOOLS_FAIDX (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6.fa.gz)	COMPLETED	0	2024-04-04 16:05:39.570	113ms	32ms	111.5%	0	0	454.6 KB	1.1 KB
21	9c/13b8ec	3953159	NFCORE_PANGENOME:PANGENOME:COMMUNITY:SAMTOOLS_FAIDX (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.1.fa.gz)	COMPLETED	0	2024-04-04 16:05:39.576	117ms	36ms	104.2%	0	0	454.8 KB	1.1 KB
20	30/b441f7	3953148	NFCORE_PANGENOME:PANGENOME:COMMUNITY:SAMTOOLS_FAIDX (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.5.fa.gz)	COMPLETED	0	2024-04-04 16:05:39.573	189ms	39ms	98.8%	0	0	416.3 KB	1 KB
22	7b/c0cd78	3953250	NFCORE_PANGENOME:PANGENOME:COMMUNITY:SAMTOOLS_FAIDX (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.4.fa.gz)	COMPLETED	0	2024-04-04 16:05:39.605	389ms	41ms	96.1%	3.3 MB	11 MB	654.6 KB	1.7 KB
23	31/d7fa42	3953554	NFCORE_PANGENOME:PANGENOME:COMMUNITY:SAMTOOLS_FAIDX (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.3.fa.gz)	COMPLETED	0	2024-04-04 16:05:39.678	420ms	44ms	92.8%	3.3 MB	11 MB	615 KB	1.5 KB
24	16/139aee	3953617	NFCORE_PANGENOME:PANGENOME:PGGB:WFMASH_MAP_ALIGN (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2)	COMPLETED	0	2024-04-04 16:05:39.691	1.1s	1.1s	370.3%	17.8 MB	8.1 GB	1.1 MB	8.6 KB
25	3b/b2ac90	3953652	NFCORE_PANGENOME:PANGENOME:PGGB:WFMASH_MAP_ALIGN (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6)	COMPLETED	0	2024-04-04 16:05:39.702	1.2s	1.1s	331.0%	20.7 MB	8.1 GB	2.4 MB	11.9 KB
26	0b/23b079	3953696	NFCORE_PANGENOME:PANGENOME:PGGB:WFMASH_MAP_ALIGN (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.1)	COMPLETED	0	2024-04-04 16:05:39.713	1.2s	1.1s	551.8%	21 MB	8.1 GB	2.4 MB	12.2 KB
17	a3/6bbbb0	3952789	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.0)	COMPLETED	0	2024-04-04 16:05:39.445	1.8s	1.7s	94.0%	8.3 MB	20.9 MB	14.4 MB	3.8 MB
27	77/6c5eab	3954057	NFCORE_PANGENOME:PANGENOME:PGGB:WFMASH_MAP_ALIGN (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.5)	COMPLETED	0	2024-04-04 16:05:39.801	1.5s	1.1s	513.0%	18.8 MB	8.1 GB	1.8 MB	9 KB
30	12/e5378e	3955329	NFCORE_PANGENOME:PANGENOME:PGGB:SEQWISH (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2)	COMPLETED	0	2024-04-04 16:05:40.840	702ms	564ms	1850.9%	32.2 MB	115 MB	319.9 KB	790.9 KB
33	09/19577f	3956053	NFCORE_PANGENOME:PANGENOME:COMMUNITY:SAMTOOLS_FAIDX (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.0.fa.gz)	COMPLETED	0	2024-04-04 16:05:41.235	420ms	204ms	50.3%	3.1 MB	11 MB	4 MB	11.4 KB
31	9a/fcafc8	3955364	NFCORE_PANGENOME:PANGENOME:PGGB:SEQWISH (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6)	COMPLETED	0	2024-04-04 16:05:40.868	835ms	784ms	1439.6%	20.1 MB	95.3 MB	414.8 KB	1 MB
28	1f/32a4da	3954587	NFCORE_PANGENOME:PANGENOME:PGGB:WFMASH_MAP_ALIGN (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.4)	COMPLETED	0	2024-04-04 16:05:40.012	1.8s	1.6s	611.7%	91.9 MB	8.6 GB	8 MB	44.9 KB
32	db/970856	3955593	NFCORE_PANGENOME:PANGENOME:PGGB:SEQWISH (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.1)	COMPLETED	0	2024-04-04 16:05:40.951	883ms	813ms	1479.2%	32.5 MB	119.3 MB	415.3 KB	1.1 MB
29	44/563319	3954813	NFCORE_PANGENOME:PANGENOME:PGGB:WFMASH_MAP_ALIGN (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.3)	COMPLETED	0	2024-04-04 16:05:40.129	1.7s	1.6s	607.7%	103.9 MB	8.4 GB	6.6 MB	31.8 KB
34	31/7aa4a9	3956208	NFCORE_PANGENOME:PANGENOME:PGGB:SEQWISH (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.5)	COMPLETED	0	2024-04-04 16:05:41.324	858ms	575ms	1767.2%	32.3 MB	107.2 MB	372.3 KB	913.8 KB
36	5c/fe277f	3956407	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_BUILD (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2.seqwish)	COMPLETED	0	2024-04-04 16:05:41.574	1.2s	1.1s	3.6%	8.7 MB	39.2 MB	358.7 KB	215.7 KB
40	d2/0e9b34	3957198	NFCORE_PANGENOME:PANGENOME:PGGB:SEQWISH (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.4)	COMPLETED	0	2024-04-04 16:05:41.839	1.3s	1.2s	940.6%	33.3 MB	120 MB	642.4 KB	1.8 MB
46	2c/c1921c	3960975	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_QC:ODGI_STATS (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2.seqwish)	COMPLETED	0	2024-04-04 16:05:43.181	95ms	23ms	94.6%	0	0	413.4 KB	1.2 KB
43	f4/d60ff7	3957688	NFCORE_PANGENOME:PANGENOME:PGGB:SEQWISH (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.3)	COMPLETED	0	2024-04-04 16:05:42.185	1.2s	1.1s	1159.5%	15.4 MB	80.9 MB	591.8 KB	1.6 MB
39	e1/37aad8	3956783	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_BUILD (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6.seqwish)	COMPLETED	0	2024-04-04 16:05:41.714	1.7s	1.5s	3.2%	9.2 MB	54.9 MB	354.3 KB	159.5 KB
42	cb/ca3763	3957334	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_BUILD (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.1.seqwish)	COMPLETED	0	2024-04-04 16:05:41.866	1.8s	1.5s	2.0%	9.6 MB	66.9 MB	358.6 KB	167.1 KB
52	7a/fdce4f	3968230	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_QC:ODGI_STATS (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.1.seqwish)	COMPLETED	0	2024-04-04 16:05:43.638	102ms	23ms	92.8%	0	0	364.8 KB	1.2 KB
51	98/2aaeb5	3968171	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_QC:ODGI_STATS (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6.seqwish)	COMPLETED	0	2024-04-04 16:05:43.635	205ms	25ms	119.1%	0	0	357.1 KB	1.2 KB
45	6d/ca118f	3958013	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_BUILD (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.5.seqwish)	COMPLETED	0	2024-04-04 16:05:42.804	1.3s	1.1s	2.5%	9.1 MB	39 MB	353.9 KB	161.8 KB
48	44/221e50	3963778	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_BUILD (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.4.seqwish)	COMPLETED	0	2024-04-04 16:05:43.280	1.6s	1.5s	2.0%	9.5 MB	62.9 MB	368.2 KB	176.8 KB
53	a0/8ca042	3973283	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_QC:ODGI_STATS (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.5.seqwish)	COMPLETED	0	2024-04-04 16:05:44.858	96ms	23ms	86.5%	0	0	359.4 KB	1.2 KB
